timepoint,cloudcover,highcloud,midcloud,lowcloud,rh_profile,wind_profile,temp2m,lifted_index,rh2m,msl_pressure,prec_type,prec_amount,snow_depth,wind10m_direction,wind10m_speed,country
3,9,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 12}, {'layer': '900mb', 'rh': 12}, {'layer': '850mb', 'rh': 7}, {'layer': '800mb', 'rh': 5}, {'layer': '750mb', 'rh': 6}, {'layer': '700mb', 'rh': 9}, {'layer': '650mb', 'rh': 4}, {'layer': '600mb', 'rh': -1}, {'layer': '550mb', 'rh': 0}, {'layer': '500mb', 'rh': 3}, {'layer': '450mb', 'rh': 1}, {'layer': '400mb', 'rh': -3}, {'layer': '350mb', 'rh': 0}, {'layer': '300mb', 'rh': -2}, {'layer': '250mb', 'rh': -1}, {'layer': '200mb', 'rh': -1}]","[{'layer': '950mb', 'direction': 125, 'speed': 3}, {'layer': '900mb', 'direction': 130, 'speed': 3}, {'layer': '850mb', 'direction': 120, 'speed': 3}, {'layer': '800mb', 'direction': 105, 'speed': 3}, {'layer': '750mb', 'direction': 100, 'speed': 3}, {'layer': '700mb', 'direction': 95, 'speed': 3}, {'layer': '650mb', 'direction': 90, 'speed': 4}, {'layer': '600mb', 'direction': 85, 'speed': 4}, {'layer': '550mb', 'direction': 85, 'speed': 4}, {'layer': '500mb', 'direction': 80, 'speed': 4}, {'layer': '450mb', 'direction': 100, 'speed': 5}, {'layer': '400mb', 'direction': 100, 'speed': 5}, {'layer': '350mb', 'direction': 95, 'speed': 5}, {'layer': '300mb', 'direction': 90, 'speed': 4}, {'layer': '250mb', 'direction': 105, 'speed': 5}, {'layer': '200mb', 'direction': 85, 'speed': 4}]",28,-1,9,-9999,none,0,0,125,3,papua new guinea
6,9,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 12}, {'layer': '900mb', 'rh': 14}, {'layer': '850mb', 'rh': 9}, {'layer': '800mb', 'rh': 8}, {'layer': '750mb', 'rh': 8}, {'layer': '700mb', 'rh': 9}, {'layer': '650mb', 'rh': 7}, {'layer': '600mb', 'rh': 3}, {'layer': '550mb', 'rh': 0}, {'layer': '500mb', 'rh': 8}, {'layer': '450mb', 'rh': -1}, {'layer': '400mb', 'rh': -4}, {'layer': '350mb', 'rh': 8}, {'layer': '300mb', 'rh': -1}, {'layer': '250mb', 'rh': -1}, {'layer': '200mb', 'rh': 1}]","[{'layer': '950mb', 'direction': 130, 'speed': 3}, {'layer': '900mb', 'direction': 130, 'speed': 3}, {'layer': '850mb', 'direction': 125, 'speed': 3}, {'layer': '800mb', 'direction': 115, 'speed': 3}, {'layer': '750mb', 'direction': 105, 'speed': 3}, {'layer': '700mb', 'direction': 105, 'speed': 3}, {'layer': '650mb', 'direction': 100, 'speed': 3}, {'layer': '600mb', 'direction': 90, 'speed': 3}, {'layer': '550mb', 'direction': 80, 'speed': 4}, {'layer': '500mb', 'direction': 80, 'speed': 4}, {'layer': '450mb', 'direction': 100, 'speed': 5}, {'layer': '400mb', 'direction': 100, 'speed': 5}, {'layer': '350mb', 'direction': 90, 'speed': 4}, {'layer': '300mb', 'direction': 105, 'speed': 4}, {'layer': '250mb', 'direction': 105, 'speed': 5}, {'layer': '200mb', 'direction': 95, 'speed': 5}]",29,-4,10,-9999,none,0,0,130,3,papua new guinea
9,9,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 13}, {'layer': '900mb', 'rh': 14}, {'layer': '850mb', 'rh': 10}, {'layer': '800mb', 'rh': 8}, {'layer': '750mb', 'rh': 8}, {'layer': '700mb', 'rh': 8}, {'layer': '650mb', 'rh': 8}, {'layer': '600mb', 'rh': 10}, {'layer': '550mb', 'rh': 8}, {'layer': '500mb', 'rh': 11}, {'layer': '450mb', 'rh': 3}, {'layer': '400mb', 'rh': -2}, {'layer': '350mb', 'rh': 3}, {'layer': '300mb', 'rh': -4}, {'layer': '250mb', 'rh': -2}, {'layer': '200mb', 'rh': 5}]","[{'layer': '950mb', 'direction': 120, 'speed': 3}, {'layer': '900mb', 'direction': 120, 'speed': 3}, {'layer': '850mb', 'direction': 120, 'speed': 3}, {'layer': '800mb', 'direction': 115, 'speed': 3}, {'layer': '750mb', 'direction': 110, 'speed': 3}, {'layer': '700mb', 'direction': 115, 'speed': 4}, {'layer': '650mb', 'direction': 115, 'speed': 4}, {'layer': '600mb', 'direction': 110, 'speed': 4}, {'layer': '550mb', 'direction': 95, 'speed': 4}, {'layer': '500mb', 'direction': 90, 'speed': 4}, {'layer': '450mb', 'direction': 90, 'speed': 5}, {'layer': '400mb', 'direction': 100, 'speed': 4}, {'layer': '350mb', 'direction': 90, 'speed': 4}, {'layer': '300mb', 'direction': 100, 'speed': 5}, {'layer': '250mb', 'direction': 85, 'speed': 4}, {'layer': '200mb', 'direction': 90, 'speed': 5}]",29,-4,10,-9999,none,1,0,120,3,papua new guinea
12,9,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 12}, {'layer': '900mb', 'rh': 13}, {'layer': '850mb', 'rh': 11}, {'layer': '800mb', 'rh': 9}, {'layer': '750mb', 'rh': 7}, {'layer': '700mb', 'rh': 7}, {'layer': '650mb', 'rh': 8}, {'layer': '600mb', 'rh': 8}, {'layer': '550mb', 'rh': 8}, {'layer': '500mb', 'rh': 3}, {'layer': '450mb', 'rh': 7}, {'layer': '400mb', 'rh': -1}, {'layer': '350mb', 'rh': 4}, {'layer': '300mb', 'rh': -3}, {'layer': '250mb', 'rh': -2}, {'layer': '200mb', 'rh': 5}]","[{'layer': '950mb', 'direction': 125, 'speed': 3}, {'layer': '900mb', 'direction': 125, 'speed': 3}, {'layer': '850mb', 'direction': 125, 'speed': 3}, {'layer': '800mb', 'direction': 120, 'speed': 3}, {'layer': '750mb', 'direction': 120, 'speed': 4}, {'layer': '700mb', 'direction': 115, 'speed': 4}, {'layer': '650mb', 'direction': 110, 'speed': 4}, {'layer': '600mb', 'direction': 105, 'speed': 4}, {'layer': '550mb', 'direction': 95, 'speed': 4}, {'layer': '500mb', 'direction': 90, 'speed': 5}, {'layer': '450mb', 'direction': 90, 'speed': 5}, {'layer': '400mb', 'direction': 90, 'speed': 5}, {'layer': '350mb', 'direction': 80, 'speed': 5}, {'layer': '300mb', 'direction': 105, 'speed': 5}, {'layer': '250mb', 'direction': 90, 'speed': 4}, {'layer': '200mb', 'direction': 60, 'speed': 4}]",29,-4,10,-9999,none,1,0,125,3,papua new guinea
15,9,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 13}, {'layer': '900mb', 'rh': 10}, {'layer': '850mb', 'rh': 9}, {'layer': '800mb', 'rh': 5}, {'layer': '750mb', 'rh': 5}, {'layer': '700mb', 'rh': 7}, {'layer': '650mb', 'rh': 8}, {'layer': '600mb', 'rh': 8}, {'layer': '550mb', 'rh': 8}, {'layer': '500mb', 'rh': 3}, {'layer': '450mb', 'rh': 6}, {'layer': '400mb', 'rh': -2}, {'layer': '350mb', 'rh': 6}, {'layer': '300mb', 'rh': -4}, {'layer': '250mb', 'rh': 0}, {'layer': '200mb', 'rh': 15}]","[{'layer': '950mb', 'direction': 120, 'speed': 3}, {'layer': '900mb', 'direction': 120, 'speed': 3}, {'layer': '850mb', 'direction': 125, 'speed': 3}, {'layer': '800mb', 'direction': 130, 'speed': 4}, {'layer': '750mb', 'direction': 125, 'speed': 4}, {'layer': '700mb', 'direction': 125, 'speed': 4}, {'layer': '650mb', 'direction': 125, 'speed': 4}, {'layer': '600mb', 'direction': 110, 'speed': 4}, {'layer': '550mb', 'direction': 90, 'speed': 4}, {'layer': '500mb', 'direction': 80, 'speed': 5}, {'layer': '450mb', 'direction': 75, 'speed': 5}, {'layer': '400mb', 'direction': 90, 'speed': 5}, {'layer': '350mb', 'direction': 75, 'speed': 5}, {'layer': '300mb', 'direction': 105, 'speed': 5}, {'layer': '250mb', 'direction': 80, 'speed': 4}, {'layer': '200mb', 'direction': 45, 'speed': 3}]",28,-4,10,-9999,none,1,0,125,3,papua new guinea
18,8,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 13}, {'layer': '900mb', 'rh': 13}, {'layer': '850mb', 'rh': 11}, {'layer': '800mb', 'rh': 7}, {'layer': '750mb', 'rh': 6}, {'layer': '700mb', 'rh': 7}, {'layer': '650mb', 'rh': 7}, {'layer': '600mb', 'rh': 8}, {'layer': '550mb', 'rh': 8}, {'layer': '500mb', 'rh': 3}, {'layer': '450mb', 'rh': 6}, {'layer': '400mb', 'rh': -3}, {'layer': '350mb', 'rh': -2}, {'layer': '300mb', 'rh': -4}, {'layer': '250mb', 'rh': -3}, {'layer': '200mb', 'rh': 8}]","[{'layer': '950mb', 'direction': 130, 'speed': 3}, {'layer': '900mb', 'direction': 130, 'speed': 3}, {'layer': '850mb', 'direction': 130, 'speed': 3}, {'layer': '800mb', 'direction': 130, 'speed': 4}, {'layer': '750mb', 'direction': 130, 'speed': 4}, {'layer': '700mb', 'direction': 130, 'speed': 4}, {'layer': '650mb', 'direction': 130, 'speed': 4}, {'layer': '600mb', 'direction': 115, 'speed': 4}, {'layer': '550mb', 'direction': 90, 'speed': 4}, {'layer': '500mb', 'direction': 80, 'speed': 5}, {'layer': '450mb', 'direction': 65, 'speed': 5}, {'layer': '400mb', 'direction': 75, 'speed': 5}, {'layer': '350mb', 'direction': 70, 'speed': 5}, {'layer': '300mb', 'direction': 115, 'speed': 5}, {'layer': '250mb', 'direction': 120, 'speed': 5}, {'layer': '200mb', 'direction': 85, 'speed': 3}]",28,-6,10,-9999,none,1,0,125,3,papua new guinea
21,9,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 13}, {'layer': '900mb', 'rh': 12}, {'layer': '850mb', 'rh': 11}, {'layer': '800mb', 'rh': 8}, {'layer': '750mb', 'rh': 6}, {'layer': '700mb', 'rh': 6}, {'layer': '650mb', 'rh': 7}, {'layer': '600mb', 'rh': 7}, {'layer': '550mb', 'rh': 8}, {'layer': '500mb', 'rh': 4}, {'layer': '450mb', 'rh': 2}, {'layer': '400mb', 'rh': 0}, {'layer': '350mb', 'rh': 0}, {'layer': '300mb', 'rh': -2}, {'layer': '250mb', 'rh': -3}, {'layer': '200mb', 'rh': 8}]","[{'layer': '950mb', 'direction': 130, 'speed': 3}, {'layer': '900mb', 'direction': 135, 'speed': 3}, {'layer': '850mb', 'direction': 135, 'speed': 3}, {'layer': '800mb', 'direction': 135, 'speed': 4}, {'layer': '750mb', 'direction': 135, 'speed': 4}, {'layer': '700mb', 'direction': 130, 'speed': 4}, {'layer': '650mb', 'direction': 125, 'speed': 4}, {'layer': '600mb', 'direction': 115, 'speed': 4}, {'layer': '550mb', 'direction': 100, 'speed': 4}, {'layer': '500mb', 'direction': 90, 'speed': 5}, {'layer': '450mb', 'direction': 75, 'speed': 5}, {'layer': '400mb', 'direction': 70, 'speed': 5}, {'layer': '350mb', 'direction': 80, 'speed': 5}, {'layer': '300mb', 'direction': 105, 'speed': 4}, {'layer': '250mb', 'direction': 115, 'speed': 5}, {'layer': '200mb', 'direction': 85, 'speed': 3}]",28,-6,10,-9999,none,1,0,130,3,papua new guinea
24,7,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 13}, {'layer': '900mb', 'rh': 13}, {'layer': '850mb', 'rh': 12}, {'layer': '800mb', 'rh': 8}, {'layer': '750mb', 'rh': 3}, {'layer': '700mb', 'rh': 5}, {'layer': '650mb', 'rh': 4}, {'layer': '600mb', 'rh': 6}, {'layer': '550mb', 'rh': 6}, {'layer': '500mb', 'rh': 4}, {'layer': '450mb', 'rh': 2}, {'layer': '400mb', 'rh': -2}, {'layer': '350mb', 'rh': -3}, {'layer': '300mb', 'rh': -4}, {'layer': '250mb', 'rh': -3}, {'layer': '200mb', 'rh': 1}]","[{'layer': '950mb', 'direction': 120, 'speed': 3}, {'layer': '900mb', 'direction': 135, 'speed': 3}, {'layer': '850mb', 'direction': 140, 'speed': 3}, {'layer': '800mb', 'direction': 130, 'speed': 3}, {'layer': '750mb', 'direction': 130, 'speed': 4}, {'layer': '700mb', 'direction': 130, 'speed': 4}, {'layer': '650mb', 'direction': 125, 'speed': 4}, {'layer': '600mb', 'direction': 115, 'speed': 4}, {'layer': '550mb', 'direction': 105, 'speed': 4}, {'layer': '500mb', 'direction': 95, 'speed': 5}, {'layer': '450mb', 'direction': 80, 'speed': 5}, {'layer': '400mb', 'direction': 65, 'speed': 5}, {'layer': '350mb', 'direction': 85, 'speed': 5}, {'layer': '300mb', 'direction': 105, 'speed': 5}, {'layer': '250mb', 'direction': 125, 'speed': 5}, {'layer': '200mb', 'direction': 70, 'speed': 4}]",29,-4,10,-9999,rain,1,0,120,3,papua new guinea
27,6,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 12}, {'layer': '900mb', 'rh': 12}, {'layer': '850mb', 'rh': 9}, {'layer': '800mb', 'rh': 4}, {'layer': '750mb', 'rh': 2}, {'layer': '700mb', 'rh': 6}, {'layer': '650mb', 'rh': 4}, {'layer': '600mb', 'rh': 5}, {'layer': '550mb', 'rh': 9}, {'layer': '500mb', 'rh': 4}, {'layer': '450mb', 'rh': 3}, {'layer': '400mb', 'rh': 3}, {'layer': '350mb', 'rh': -2}, {'layer': '300mb', 'rh': -2}, {'layer': '250mb', 'rh': -4}, {'layer': '200mb', 'rh': 0}]","[{'layer': '950mb', 'direction': 145, 'speed': 3}, {'layer': '900mb', 'direction': 140, 'speed': 3}, {'layer': '850mb', 'direction': 130, 'speed': 3}, {'layer': '800mb', 'direction': 135, 'speed': 4}, {'layer': '750mb', 'direction': 130, 'speed': 4}, {'layer': '700mb', 'direction': 125, 'speed': 4}, {'layer': '650mb', 'direction': 120, 'speed': 4}, {'layer': '600mb', 'direction': 115, 'speed': 5}, {'layer': '550mb', 'direction': 110, 'speed': 4}, {'layer': '500mb', 'direction': 100, 'speed': 5}, {'layer': '450mb', 'direction': 85, 'speed': 5}, {'layer': '400mb', 'direction': 80, 'speed': 5}, {'layer': '350mb', 'direction': 80, 'speed': 5}, {'layer': '300mb', 'direction': 95, 'speed': 5}, {'layer': '250mb', 'direction': 100, 'speed': 4}, {'layer': '200mb', 'direction': 120, 'speed': 5}]",29,-4,10,-9999,rain,2,0,150,3,papua new guinea
30,6,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 11}, {'layer': '900mb', 'rh': 12}, {'layer': '850mb', 'rh': 8}, {'layer': '800mb', 'rh': 6}, {'layer': '750mb', 'rh': 5}, {'layer': '700mb', 'rh': 7}, {'layer': '650mb', 'rh': 6}, {'layer': '600mb', 'rh': 4}, {'layer': '550mb', 'rh': 6}, {'layer': '500mb', 'rh': 4}, {'layer': '450mb', 'rh': 0}, {'layer': '400mb', 'rh': -1}, {'layer': '350mb', 'rh': 0}, {'layer': '300mb', 'rh': -2}, {'layer': '250mb', 'rh': -2}, {'layer': '200mb', 'rh': 1}]","[{'layer': '950mb', 'direction': 135, 'speed': 3}, {'layer': '900mb', 'direction': 130, 'speed': 3}, {'layer': '850mb', 'direction': 135, 'speed': 3}, {'layer': '800mb', 'direction': 135, 'speed': 3}, {'layer': '750mb', 'direction': 125, 'speed': 4}, {'layer': '700mb', 'direction': 125, 'speed': 4}, {'layer': '650mb', 'direction': 120, 'speed': 5}, {'layer': '600mb', 'direction': 115, 'speed': 5}, {'layer': '550mb', 'direction': 110, 'speed': 5}, {'layer': '500mb', 'direction': 90, 'speed': 4}, {'layer': '450mb', 'direction': 90, 'speed': 5}, {'layer': '400mb', 'direction': 90, 'speed': 5}, {'layer': '350mb', 'direction': 80, 'speed': 5}, {'layer': '300mb', 'direction': 90, 'speed': 5}, {'layer': '250mb', 'direction': 115, 'speed': 5}, {'layer': '200mb', 'direction': 115, 'speed': 5}]",29,-1,9,-9999,rain,2,0,135,3,papua new guinea
